,adk,atpA,dxr,glyA,recA,sodA,tpi,mlst_clade
745,71,78,73,122,65,92,119,cryptic
746,71,78,73,151,65,123,97,cryptic
747,105,78,73,148,65,122,97,cryptic
748,71,78,73,122,65,92,97,cryptic
749,13,65,85,123,17,31,105,cryptic
750,13,44,22,40,35,56,60,cryptic
751,30,41,43,59,34,53,58,cryptic
752,82,63,66,59,61,99,97,cryptic
753,30,63,65,97,57,53,86,cryptic
754,29,40,42,58,33,52,57,cryptic
755,13,18,22,33,18,31,26,cryptic
